$3$784$
##############################################################################################################
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.670588;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.003922;	0.003922;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.325490;	0.325490;	0.972549;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.670588;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.003922;	0.003922;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.325490;	0.325490;	0.972549;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.776471;	0.066667;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.003922;	0.003922;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.533333;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.945098;	0.945098;	0.066667;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.298039;	0.298039;	0.231373;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.066667;	0.952941;	0.952941;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.870588;	0.870588;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.023529;	0.474510;	1.000000;	1.000000;	0.929412;	0.674510;	0.674510;	0.070588;	0.007843;	0.007843;	0.007843;	0.007843;	0.945098;	0.945098;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.870588;	0.870588;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.023529;	0.474510;	1.000000;	1.000000;	0.929412;	0.674510;	0.674510;	0.070588;	0.007843;	0.007843;	0.007843;	0.007843;	0.945098;	0.945098;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.356863;	0.356863;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.498039;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.776471;	0.533333;	0.160784;	0.160784;	0.007843;	0.631373;	0.631373;
1.000000;	1.000000;	1.000000;	1.000000;	0.776471;	0.023529;	0.023529;	0.007843;	0.007843;	0.007843;	0.007843;	0.505882;	0.945098;	0.945098;	0.984314;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.298039;	0.298039;	0.007843;	0.023529;	0.023529;
1.000000;	1.000000;	1.000000;	1.000000;	0.776471;	0.023529;	0.023529;	0.007843;	0.007843;	0.007843;	0.007843;	0.505882;	0.945098;	0.945098;	0.984314;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.298039;	0.298039;	0.007843;	0.023529;	0.023529;
1.000000;	1.000000;	1.000000;	1.000000;	0.313725;	0.007843;	0.007843;	0.007843;	0.058824;	0.254902;	0.254902;	0.890196;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.298039;	0.298039;	0.007843;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.180392;	0.007843;	0.007843;	0.007843;	0.301961;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.639216;	0.639216;	0.007843;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.172549;	0.003922;	0.003922;	0.003922;	0.298039;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.470588;	0.000000;	0.000000;
1.000000;	1.000000;	1.000000;	1.000000;	0.172549;	0.003922;	0.003922;	0.003922;	0.298039;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.470588;	0.000000;	0.000000;
1.000000;	1.000000;	1.000000;	1.000000;	0.180392;	0.007843;	0.007843;	0.007843;	0.647059;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.474510;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.180392;	0.007843;	0.007843;	0.007843;	0.301961;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.992157;	0.992157;	0.443137;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.180392;	0.007843;	0.007843;	0.007843;	0.301961;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.992157;	0.992157;	0.443137;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.180392;	0.007843;	0.007843;	0.007843;	0.160784;	0.862745;	0.862745;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.882353;	0.882353;	0.007843;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.352941;	0.007843;	0.007843;	0.007843;	0.007843;	0.156863;	0.156863;	0.858824;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.360784;	0.360784;	0.007843;	0.007843;	0.007843;
1.000000;	1.000000;	1.000000;	1.000000;	0.929412;	0.325490;	0.325490;	0.007843;	0.007843;	0.007843;	0.007843;	0.160784;	0.501961;	0.501961;	0.976471;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.717647;	0.090196;	0.090196;	0.007843;	0.329412;	0.329412;
1.000000;	1.000000;	1.000000;	1.000000;	0.929412;	0.325490;	0.325490;	0.007843;	0.007843;	0.007843;	0.007843;	0.160784;	0.501961;	0.501961;	0.976471;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.717647;	0.090196;	0.090196;	0.007843;	0.329412;	0.329412;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.972549;	0.972549;	0.286275;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.364706;	0.780392;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.749020;	0.058824;	0.007843;	0.007843;	0.007843;	0.945098;	0.945098;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.976471;	0.321569;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.035294;	0.054902;	0.054902;	0.062745;	0.062745;	0.062745;	0.031373;	0.007843;	0.117647;	0.117647;	0.945098;	0.996078;	0.996078;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.976471;	0.321569;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.007843;	0.035294;	0.054902;	0.054902;	0.062745;	0.062745;	0.062745;	0.031373;	0.007843;	0.117647;	0.117647;	0.945098;	0.996078;	0.996078;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.929412;	0.768627;	0.768627;	0.458824;	0.121569;	0.121569;	0.007843;	0.007843;	0.003922;	0.003922;	0.007843;	0.007843;	0.007843;	0.007843;	0.058824;	0.623529;	0.623529;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.854902;	0.854902;	0.592157;	0.247059;	0.000000;	0.000000;	0.007843;	0.007843;	0.007843;	0.286275;	0.713725;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
##################################################################################################################
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.886275;	0.023529;	0.023529;	0.003922;	0.003922;	0.003922;	0.968627;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.823529;	0.003922;	0.003922;	0.003922;	0.317647;	0.317647;	0.992157;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.823529;	0.003922;	0.003922;	0.003922;	0.317647;	0.317647;	0.992157;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.984314;	0.356863;	0.003922;	0.003922;	0.003922;	0.666667;	0.666667;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	0.427451;	0.003922;	0.003922;	0.003922;	0.003922;	0.666667;	0.666667;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;	1.000000;
